# ksw_extend2 profile v1
# sample_stride	64
# samples_stored	26294
# calls	1682797
# total_dp_cells	5337376551
# total_rows	121291518
# qlen_bins	<=8 <=16 <=32 <=64 <=96 <=128 <=160 <=192 <=256 <=512 >512
# qlen_counts	136256	127088	201450	353504	581682	263052	19765	0	0	0	0
# tlen_bins	<=16 <=32 <=64 <=128 <=256 <=512 <=1024 <=2048 >2048
# tlen_counts	139193	110187	183378	364902	877545	7547	45	0	0
# requested_w_bins	<=4 <=8 <=16 <=32 <=64 <=128 <=256 >256
# requested_w_counts	0	0	0	0	0	1682797	0	0
# dp_cell_bins	<=64 <=128 <=256 <=512 <=1024 <=2048 <=4096 <=8192 <=16384 <=32768 >32768
# dp_cell_counts	124661	36948	199622	219703	178895	176658	195588	319292	231430	0	0
sample_index	qlen	tlen	requested_w	effective_w	rows	dp_cells	max_score
497	64	123	100	64	123	6161	142
498	89	173	100	89	167	9561	95
499	15	25	100	15	24	303	23
500	15	25	100	15	17	234	23
501	4	5	100	4	5	20	145
502	115	225	100	100	27	621	29
503	6	7	100	6	7	42	29
504	16	133	100	16	33	392	139
505	1	2	100	1	2	2	145
506	71	137	100	71	14	234	20
507	75	145	100	75	56	1668	33
508	1	2	100	1	2	2	149
509	39	141	100	39	79	2301	137
510	1	2	100	1	2	2	70
511	110	215	100	100	56	680	21
512	1	2	100	1	2	2	149
513	1	2	100	1	2	2	149
514	1	2	100	1	2	2	145
515	105	205	100	100	20	356	20
516	64	123	100	64	123	6000	108
517	75	145	100	75	145	8393	114
518	1	109	100	1	3	2	70
519	44	83	100	44	83	2911	105
520	44	83	100	44	83	2911	105
521	44	83	100	44	83	2911	105
522	89	173	100	89	173	10308	112
523	93	181	100	93	86	4832	53
524	81	205	100	81	163	9470	134
525	1	2	100	1	2	2	26
526	25	45	100	25	45	930	37
527	31	57	100	31	57	1442	123
528	31	57	100	31	57	1442	123
529	29	53	100	29	53	1261	122
530	25	45	100	25	45	930	37
531	89	173	100	89	173	9733	102
532	29	53	100	29	53	1261	126
533	2	3	100	2	3	6	22
534	64	123	100	64	123	6161	137
