# ksw_extend2 profile v1
# sample_stride	64
# samples_stored	11102
# calls	710528
# total_dp_cells	578638455
# total_rows	23510511
# qlen_bins	<=8 <=16 <=32 <=64 <=96 <=128 <=160 <=192 <=256 <=512 >512
# qlen_counts	60559	57733	135286	297264	159686	0	0	0	0	0	0
# tlen_bins	<=16 <=32 <=64 <=128 <=256 <=512 <=1024 <=2048 >2048
# tlen_counts	52439	40800	129328	333410	154315	185	47	4	0
# requested_w_bins	<=4 <=8 <=16 <=32 <=64 <=128 <=256 >256
# requested_w_counts	0	0	0	0	0	710528	0	0
# dp_cell_bins	<=64 <=128 <=256 <=512 <=1024 <=2048 <=4096 <=8192 <=16384 <=32768 >32768
# dp_cell_counts	49874	54477	208019	81505	153408	72146	78621	12478	0	0	0
sample_index	qlen	tlen	requested_w	effective_w	rows	dp_cells	max_score
337	8	11	100	8	11	85	90
338	22	39	100	22	39	722	95
339	7	9	100	7	9	62	93
340	19	33	100	19	33	536	95
341	40	75	100	40	75	2405	86
342	45	85	100	45	85	3045	95
343	35	65	100	35	65	1840	94
344	37	69	100	37	66	1504	37
345	22	97	100	22	45	737	90
346	37	69	100	37	69	2057	90
347	30	55	100	30	55	1350	76
348	20	35	100	20	35	595	78
349	12	85	100	12	25	222	95
350	57	109	100	57	109	4173	80
351	45	85	100	45	85	2654	59
352	28	51	100	28	51	1175	95
353	62	119	100	62	119	3980	70
354	20	35	100	20	35	595	93
355	30	55	100	30	55	1350	88
356	50	95	100	50	95	3680	95
357	63	121	100	63	90	3040	47
358	8	80	100	8	17	100	87
359	40	75	100	40	75	2405	80
360	28	91	100	28	57	1190	95
361	63	121	100	63	92	3334	47
362	46	88	100	46	88	3186	93
363	40	75	100	40	75	2405	95
364	22	85	100	22	45	737	95
365	23	86	100	23	47	805	85
366	41	77	100	41	77	2524	76
367	16	83	100	16	33	392	95
368	7	9	100	7	9	62	95
369	33	108	100	33	67	1650	76
370	3	4	100	3	4	12	97
371	50	95	100	50	95	3374	73
372	14	77	100	14	29	301	95
373	5	6	100	5	6	30	95
374	23	86	100	23	47	805	85
375	22	39	100	22	39	722	95
376	22	39	100	22	39	722	95
377	23	41	100	23	41	790	67
378	15	38	100	15	31	345	79
379	8	11	100	8	11	85	92
380	24	43	100	24	43	861	95
381	9	13	100	9	13	111	79
382	13	21	100	13	21	245	95
383	21	37	100	21	37	657	90
384	1	2	100	1	2	2	99
385	44	83	100	44	83	2911	95
386	18	31	100	18	31	480	95
387	6	7	100	6	7	42	91
388	7	50	100	7	15	77	95
389	28	51	100	28	51	1175	83
390	22	39	100	22	39	722	88
391	9	40	100	9	19	126	95
392	63	121	100	63	121	4886	80
393	17	90	100	17	35	442	95
394	24	43	100	24	43	861	95
395	11	87	100	11	23	187	90
396	50	95	100	50	95	3407	83
397	40	107	100	40	81	2420	95
398	40	107	100	40	81	2420	95
