# ksw_extend2 profile v1
# sample_stride	64
# samples_stored	7048
# calls	451066
# total_dp_cells	221984606
# total_rows	11862913
# qlen_bins	<=8 <=16 <=32 <=64 <=96 <=128 <=160 <=192 <=256 <=512 >512
# qlen_counts	47934	57495	216640	128997	0	0	0	0	0	0	0
# tlen_bins	<=16 <=32 <=64 <=128 <=256 <=512 <=1024 <=2048 >2048
# tlen_counts	52569	58080	225082	112993	1963	299	73	7	0
# requested_w_bins	<=4 <=8 <=16 <=32 <=64 <=128 <=256 >256
# requested_w_counts	0	0	0	0	0	451066	0	0
# dp_cell_bins	<=64 <=128 <=256 <=512 <=1024 <=2048 <=4096 <=8192 <=16384 <=32768 >32768
# dp_cell_counts	41415	50883	153430	62827	67581	69520	5410	0	0	0	0
sample_index	qlen	tlen	requested_w	effective_w	rows	dp_cells	max_score
508	33	61	100	33	14	167	20
509	16	45	100	16	33	392	68
510	19	33	100	19	33	536	63
511	16	27	100	16	15	216	23
512	54	103	100	54	12	171	21
513	34	63	100	34	58	1594	44
514	32	59	100	32	59	1537	53
515	32	59	100	32	59	1473	43
516	33	61	100	33	45	1249	42
517	35	85	100	35	71	1822	57
518	32	59	100	32	17	258	22
519	35	65	100	35	15	168	20
520	18	31	100	18	13	129	20
521	23	41	100	23	41	790	70
522	18	31	100	18	31	480	70
523	28	51	100	28	15	169	19
524	30	55	100	30	16	161	19
525	10	15	100	10	15	140	60
526	32	59	100	32	15	159	21
527	37	69	100	37	12	149	19
528	7	14	100	7	14	77	57
529	20	70	100	20	41	610	65
530	41	77	100	41	11	131	19
531	23	41	100	23	15	130	20
532	29	53	100	29	15	138	19
533	28	51	100	28	17	234	21
534	25	45	100	25	11	107	20
535	7	57	100	7	15	77	70
536	32	59	100	32	11	114	20
537	51	97	100	51	15	176	20
538	10	15	100	10	15	140	54
539	18	68	100	18	37	495	70
540	30	55	100	30	15	147	20
541	26	47	100	26	10	117	19
542	20	35	100	20	23	256	21
543	15	25	100	15	12	133	20
544	26	47	100	26	14	187	20
545	30	55	100	30	11	141	19
546	15	25	100	15	13	171	20
547	5	55	100	5	11	40	70
548	32	59	100	32	16	196	20
549	17	29	100	17	29	427	65
550	31	57	100	31	11	136	20
551	19	33	100	19	17	150	20
552	25	45	100	25	12	133	19
553	26	47	100	26	11	160	19
554	53	103	100	53	57	1112	22
555	18	31	100	18	11	101	20
556	36	67	100	36	16	210	21
557	26	47	100	26	13	169	19
558	21	37	100	21	14	211	19
559	31	81	100	31	63	1457	70
560	23	41	100	23	10	108	19
561	27	49	100	27	11	125	19
562	2	3	100	2	3	6	22
563	26	47	100	26	12	129	20
564	40	75	100	40	11	166	20
565	27	49	100	27	12	112	19
566	17	67	100	17	35	442	70
567	22	39	100	22	11	101	20
568	30	55	100	30	22	322	22
569	34	63	100	34	12	131	19
570	35	65	100	35	15	120	20
571	49	93	100	49	87	1879	40
572	49	93	100	49	22	363	26
573	38	71	100	38	14	213	19
574	32	59	100	32	14	198	20
575	49	93	100	49	22	325	26
576	27	49	100	27	13	127	19
577	27	49	100	27	49	1091	45
578	26	47	100	26	16	159	20
579	30	55	100	30	37	990	45
580	24	43	100	24	11	107	20
581	33	61	100	33	10	120	19
582	37	69	100	37	16	183	20
583	34	63	100	34	15	172	19
584	28	51	100	28	10	146	19
585	18	31	100	18	17	208	20
586	2	3	100	2	3	6	73
587	44	83	100	44	40	1121	31
588	27	49	100	27	17	213	19
589	32	59	100	32	16	156	20
590	34	63	100	34	11	127	19
591	39	73	100	39	15	174	19
592	19	33	100	19	21	259	33
593	32	59	100	32	16	156	20
594	24	43	100	24	10	116	19
595	19	43	100	19	39	526	34
596	31	57	100	31	10	111	19
597	18	31	100	18	14	151	20
598	19	33	100	19	21	228	31
599	31	57	100	31	11	135	19
600	46	87	100	46	15	140	19
601	10	60	100	10	21	155	70
602	34	63	100	34	12	153	19
603	27	49	100	27	17	235	22
604	4	133	100	4	9	26	71
605	30	55	100	30	16	254	20
606	31	57	100	31	17	217	19
607	24	43	100	24	15	131	19
608	15	25	100	15	13	171	20
609	34	84	100	34	69	1748	70
610	23	41	100	23	15	168	22
611	7	9	100	7	9	62	63
612	35	65	100	35	16	202	21
613	19	69	100	19	39	551	65
614	34	63	100	34	63	1731	70
615	29	53	100	29	14	186	22
616	12	19	100	12	19	207	59
617	26	47	100	26	16	181	19
618	25	45	100	25	15	168	19
619	36	67	100	36	12	123	19
620	35	65	100	35	16	234	20
621	22	39	100	22	13	124	19
622	23	41	100	23	14	196	19
623	22	39	100	22	12	131	20
624	30	55	100	30	16	185	19
625	34	63	100	34	15	183	19
626	22	39	100	22	11	146	20
627	27	49	100	27	12	131	19
628	33	61	100	33	14	166	20
629	31	72	100	31	46	1207	44
630	40	75	100	40	15	180	23
631	22	39	100	22	15	144	19
632	40	119	100	40	25	510	25
633	27	49	100	27	24	365	20
634	27	49	100	27	13	120	20
635	12	19	100	12	19	184	19
636	37	69	100	37	15	230	19
637	4	5	100	4	5	20	24
638	37	69	100	37	12	146	19
639	18	31	100	18	14	136	21
640	22	39	100	22	14	177	22
641	29	53	100	29	16	195	20
642	30	55	100	30	16	196	20
643	24	43	100	24	43	861	70
644	34	63	100	34	63	1732	51
645	29	53	100	29	19	269	23
646	11	17	100	11	17	172	70
647	34	63	100	34	49	1265	41
648	31	57	100	31	12	170	19
649	20	35	100	20	11	138	20
650	31	107	100	31	16	209	21
651	37	69	100	37	26	537	30
652	30	55	100	30	55	1350	52
653	27	49	100	27	49	1092	60
