variant	dataset	read_mode	region	parent	depth	cycles_avg	cycles_min	cycles_max	instructions_avg	instructions_min	instructions_max	global_loads_avg	global_loads_min	global_loads_max	global_stores_avg	global_stores_min	global_stores_max	dcache_accesses_avg	dcache_accesses_min	dcache_accesses_max	dcache_misses_avg	dcache_misses_min	dcache_misses_max	memory_barrier_wait_cycles_avg	memory_barrier_wait_cycles_min	memory_barrier_wait_cycles_max	instruction_buffer_empty_cycles_avg	instruction_buffer_empty_cycles_min	instruction_buffer_empty_cycles_max	cpi_avg
optimized	ERR1203383	PE	CHAIN_FILTER	WORKER_ALIGNMENT	1	230000000	167000000	317000000	61000000	27000000	112000000	0	0	0	0	0	0	14000000	4984000	27000000	6110	3609	56000	0	0	0	115000000	99000000	123000000	3.770492
optimized	ERR1203383	PE	CHAIN_EXTENSION	WORKER_ALIGNMENT	1	897000000	824000000	1002000000	393000000	341000000	486000000	0	0	0	0	0	0	58000000	50000000	71000000	49000	42000	60000	0	0	0	389000000	363000000	415000000	2.282443
optimized	ERR1203383	PE	ALIGNMENT_FINALIZE	WORKER_ALIGNMENT	1	104000000	89000000	118000000	31000000	19000000	41000000	0	0	0	0	0	0	4638000	2829000	6280000	89	50	147	0	0	0	56000000	49000000	59000000	3.354839
optimized	ERR1203383	PE	MATE_RESCUE	SAM_FORMAT	2	1607000000	1102000000	2494000000	1072000000	751000000	1591000000	0	0	0	0	0	0	130000000	88000000	204000000	24000	18000	33000	0	0	0	233000000	172000000	358000000	1.499067
optimized	ERR1203383	PE	PAIRING	SAM_FORMAT	2	95000000	81000000	107000000	17000000	15000000	18000000	0	0	0	0	0	0	2286000	2103000	2386000	1691	981	3787	0	0	0	68000000	56000000	75000000	5.588235
optimized	ERR1203383	PE	SAM_FORMAT	WORKER_ALIGNMENT	1	2511000000	2115000000	3298000000	1223000000	915000000	1725000000	0	0	0	0	0	0	154000000	113000000	226000000	64000	57000	73000	0	0	0	864000000	821000000	905000000	2.053148
optimized	ERR1203383	PE	SAM_COPY		0	61000000	51000000	66000000	4864000	3933000	5664000	0	0	0	0	0	0	921000	748000	1069000	28000	23000	33000	0	0	0	880000	713000	1018000	12.541118
optimized	ERR1203383	PE	MEM_CHAIN_COLLECT	MEM_CHAIN	2	2745000000	2199000000	3123000000	1125000000	913000000	1289000000	0	0	0	0	0	0	58000000	47000000	67000000	1960000	1574000	2259000	0	0	0	716000000	577000000	805000000	2.440000
optimized	ERR1203383	PE	MEM_CHAIN_BUILD	MEM_CHAIN	2	1400000000	1252000000	1506000000	395000000	360000000	425000000	0	0	0	0	0	0	26000000	24000000	28000000	978000	877000	1064000	0	0	0	165000000	142000000	182000000	3.544304
optimized	ERR1203383	PE	CHAIN_EXTENSION_DP	CHAIN_EXTENSION	2	436000000	370000000	529000000	298000000	250000000	384000000	0	0	0	0	0	0	43000000	37000000	56000000	11000	8778	14000	0	0	0	110000000	95000000	126000000	1.463087
