cfg	dataset	mode	kernel	new_cyc	share_of_new_total_pct
single	ERR1203383	PE	WORKER_ALIGNMENT	6.610e+11	99.1
single	ERR1203383	PE	MEM_CHAIN	3.210e+11	48.1
single	ERR1203383	PE	CHAIN_FILTER	2.600e+10	3.9
single	ERR1203383	PE	CHAIN_EXTENSION	6.500e+10	9.7
single	ERR1203383	PE	ALIGNMENT_FINALIZE	1.100e+10	1.6
single	ERR1203383	PE	MATE_RESCUE	1.790e+11	26.8
single	ERR1203383	PE	PAIRING	5.750e+09	0.9
single	ERR1203383	PE	SAM_FORMAT	2.330e+11	34.9
single	ERR1203383	PE	SAM_COPY	6.027e+09	0.9
single	ERR1203383	PE	MEM_CHAIN_COLLECT	1.820e+11	27.3
single	ERR1203383	PE	MEM_CHAIN_BUILD	1.340e+11	20.1
single	ERR1203383	PE	CHAIN_EXTENSION_DP	3.800e+10	5.7
single	ERR1203383	PE	MATE_REF_FETCH	2.355e+09	0.4
single	ERR1203383	PE	MATE_KSW_ALIGN	1.170e+11	17.5
single	ERR1203383	PE	KSW_QUERY_INIT_FORWARD	4.034e+09	0.6
single	ERR1203383	PE	KSW_DP_FORWARD	9.600e+10	14.4
single	ERR1203383	PE	KSW_QUERY_INIT_REVERSE	1.957e+09	0.3
single	ERR1203383	PE	KSW_DP_REVERSE	1.300e+10	1.9
single	ERR1203383	PE	MATE_DEDUP	4.600e+10	6.9
single	ERR1203383	PE	DEDUP_SORT_END	1.500e+10	2.2
single	ERR1203383	PE	DEDUP_REDUNDANCY	3.854e+09	0.6
single	ERR1203383	PE	DEDUP_SORT_SCORE	2.600e+10	3.9
single	ERR1203383	PE	MEM_COLLECT_FIRST	6.500e+10	9.7
single	ERR1203383	PE	MEM_COLLECT_SPLIT	6.500e+10	9.7
single	ERR1203383	PE	MEM_COLLECT_LAST	4.700e+10	7.0
single	ERR1203383	PE	MEM_COLLECT_SORT	4.398e+09	0.7
single	ERR1203383	PE	CHAIN_BUILD_REPETITIVE	7.370e+08	0.1
single	ERR1203383	PE	CHAIN_BUILD_SA	9.200e+10	13.8
single	ERR1203383	PE	CHAIN_BUILD_RID	9.306e+09	1.4
single	ERR1203383	PE	CHAIN_BUILD_TREE_SEARCH	2.273e+09	0.3
single	ERR1203383	PE	CHAIN_BUILD_MERGE	9.610e+08	0.1
single	ERR1203383	PE	CHAIN_BUILD_INSERT	1.800e+10	2.7
single	ERR1203383	PE	CHAIN_BUILD_FINALIZE	7.252e+09	1.1
single	ERR1203383	SE	WORKER_ALIGNMENT	2.560e+11	98.7
single	ERR1203383	SE	MEM_CHAIN	1.740e+11	67.1
single	ERR1203383	SE	CHAIN_FILTER	1.300e+10	5.0
single	ERR1203383	SE	CHAIN_EXTENSION	3.200e+10	12.3
single	ERR1203383	SE	ALIGNMENT_FINALIZE	5.827e+09	2.2
single	ERR1203383	SE	MATE_RESCUE	0.000e+00	0.0
single	ERR1203383	SE	PAIRING	0.000e+00	0.0
single	ERR1203383	SE	SAM_FORMAT	2.700e+10	10.4
single	ERR1203383	SE	SAM_COPY	3.284e+09	1.3
single	ERR1203383	SE	MEM_CHAIN_COLLECT	9.700e+10	37.4
single	ERR1203383	SE	MEM_CHAIN_BUILD	7.400e+10	28.5
single	ERR1203383	SE	CHAIN_EXTENSION_DP	1.800e+10	6.9
single	ERR1203383	SE	MATE_REF_FETCH	0.000e+00	0.0
single	ERR1203383	SE	MATE_KSW_ALIGN	0.000e+00	0.0
single	ERR1203383	SE	KSW_QUERY_INIT_FORWARD	0.000e+00	0.0
single	ERR1203383	SE	KSW_DP_FORWARD	0.000e+00	0.0
single	ERR1203383	SE	KSW_QUERY_INIT_REVERSE	0.000e+00	0.0
single	ERR1203383	SE	KSW_DP_REVERSE	0.000e+00	0.0
single	ERR1203383	SE	MATE_DEDUP	0.000e+00	0.0
single	ERR1203383	SE	DEDUP_SORT_END	0.000e+00	0.0
single	ERR1203383	SE	DEDUP_REDUNDANCY	0.000e+00	0.0
single	ERR1203383	SE	DEDUP_SORT_SCORE	0.000e+00	0.0
single	ERR1203383	SE	MEM_COLLECT_FIRST	3.500e+10	13.5
single	ERR1203383	SE	MEM_COLLECT_SPLIT	3.300e+10	12.7
single	ERR1203383	SE	MEM_COLLECT_LAST	2.500e+10	9.6
single	ERR1203383	SE	MEM_COLLECT_SORT	2.597e+09	1.0
single	ERR1203383	SE	CHAIN_BUILD_REPETITIVE	4.030e+08	0.2
single	ERR1203383	SE	CHAIN_BUILD_SA	5.000e+10	19.3
single	ERR1203383	SE	CHAIN_BUILD_RID	4.988e+09	1.9
single	ERR1203383	SE	CHAIN_BUILD_TREE_SEARCH	1.174e+09	0.5
single	ERR1203383	SE	CHAIN_BUILD_MERGE	6.230e+08	0.2
single	ERR1203383	SE	CHAIN_BUILD_INSERT	1.100e+10	4.2
single	ERR1203383	SE	CHAIN_BUILD_FINALIZE	4.078e+09	1.6
single	SRR2496709	PE	WORKER_ALIGNMENT	6.660e+11	99.2
