cfg	dataset	mode	variant	kernel	cycle_avg
cross	small_SRR7963242	SE	new_p	MEM_CHAIN	48000000000
cross	small_SRR7963242	SE	new_p	CHAIN_FILTER	6073000000
cross	small_SRR7963242	SE	new_p	CHAIN_EXTENSION	33000000000
cross	small_SRR7963242	SE	new_p	ALIGNMENT_FINALIZE	3023000000
cross	small_SRR7963242	SE	new_p	MATE_RESCUE	0
cross	small_SRR7963242	SE	new_p	PAIRING	0
cross	small_SRR7963242	SE	new_p	SAM_FORMAT	5191000000
cross	small_SRR7963242	SE	new_p	SAM_COPY	832000000
cross	small_SRR7963242	SE	new_p	MEM_CHAIN_COLLECT	23000000000
cross	small_SRR7963242	SE	new_p	MEM_CHAIN_BUILD	25000000000
cross	small_SRR7963242	SE	new_p	CHAIN_EXTENSION_DP	25000000000
cross	small_SRR7963242	SE	new_p	MATE_REF_FETCH	0
cross	small_SRR7963242	SE	new_p	MATE_KSW_ALIGN	0
cross	small_SRR7963242	SE	new_p	KSW_QUERY_INIT_FORWARD	0
cross	small_SRR7963242	SE	new_p	KSW_DP_FORWARD	0
cross	small_SRR7963242	SE	new_p	KSW_QUERY_INIT_REVERSE	0
cross	small_SRR7963242	SE	new_p	KSW_DP_REVERSE	0
cross	small_SRR7963242	SE	new_p	MATE_DEDUP	0
cross	small_SRR7963242	SE	new_p	DEDUP_SORT_END	0
cross	small_SRR7963242	SE	new_p	DEDUP_REDUNDANCY	0
cross	small_SRR7963242	SE	new_p	DEDUP_SORT_SCORE	0
cross	small_SRR7963242	SE	new_p	MEM_COLLECT_FIRST	8005000000
cross	small_SRR7963242	SE	new_p	MEM_COLLECT_SPLIT	8364000000
cross	small_SRR7963242	SE	new_p	MEM_COLLECT_LAST	5357000000
cross	small_SRR7963242	SE	new_p	MEM_COLLECT_SORT	850000000
cross	small_SRR7963242	SE	new_p	CHAIN_BUILD_REPETITIVE	29000000
cross	small_SRR7963242	SE	new_p	CHAIN_BUILD_SA	18000000000
cross	small_SRR7963242	SE	new_p	CHAIN_BUILD_RID	1454000000
cross	small_SRR7963242	SE	new_p	CHAIN_BUILD_TREE_SEARCH	705000000
